"Data As Of","Start Date","End Date","Jurisdiction of Occurrence","Year","Month","All Cause","Natural Cause","Septicemia","Malignant Neoplasms","Diabetes Mellitus","Alzheimer Disease","Influenza and Pneumonia","Chronic Lower Respiratory Diseases","Other Diseases of Respiratory System","Nephritis, Nephrotic Syndrome and Nephrosis","Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified","Diseases of Heart","Cerebrovascular Diseases","Accidents (Unintentional Injuries)","Motor Vehicle Accidents","Intentional Self-Harm (Suicide)","Assault (Homicide)","Drug Overdose","COVID-19 (Multiple Cause of Death)","COVID-19 (Underlying Cause of Death)","flag_accid","flag_mva","flag_suic","flag_homic","flag_drugod"
"09/27/2023","01/01/2020","01/31/2020","United States","2020","1","264,681","242,914","3,687","52,635","8,234","11,122","6,656","15,533","4,497","4,886","2,755","60,896","14,113","15,012","2,914","4,040","1,708","6,547","6","4",,,,,
"09/27/2023","02/01/2020","02/29/2020","United States","2020","2","244,966","224,343","3,324","48,764","7,766","10,444","6,147","14,267","4,067","4,507","2,599","56,851","12,818","14,497","2,910","3,672","1,471","6,435","25","20",,,,,
"09/27/2023","03/01/2020","03/31/2020","United States","2020","3","269,806","247,634","3,669","51,640","8,433","11,385","7,579","15,284","4,499","4,727","2,808","60,229","13,742","15,444","2,874","3,952","1,693","7,268","7,175","6,785",,,,,
"09/27/2023","04/01/2020","04/30/2020","United States","2020","4","322,424","300,780","3,366","48,773","9,440","12,307","5,781","13,765","4,026","4,476","2,826","62,285","13,420","15,493","2,569","3,480","1,756","7,938","65,553","62,014",,,,,
"09/27/2023","05/01/2020","05/31/2020","United States","2020","5","280,564","255,489","3,085","49,012","8,361","10,706","3,612","12,064","3,489","4,122","2,524","56,561","12,776","18,205","3,365","3,769","2,067","9,466","38,330","35,279",,,,,
"09/27/2023","06/01/2020","06/30/2020","United States","2020","6","250,456","225,455","3,036","47,962","7,629","9,954","3,074","10,935","3,281","4,006","2,496","53,590","12,315","17,784","4,026","3,985","2,261","8,212","18,026","15,827",,,,,
"09/27/2023","07/01/2020","07/31/2020","United States","2020","7","279,012","252,481","3,127","50,626","8,641","11,024","3,333","11,673","3,309","4,262","2,887","57,193","13,024","18,823","4,107","4,184","2,426","8,583","31,135","28,279",,,,,
"09/27/2023","08/01/2020","08/31/2020","United States","2020","8","277,282","251,071","3,268","51,209","8,302","10,966","3,209","11,516","3,391","4,231","2,793","56,245","13,094","18,762","4,226","4,055","2,348","8,351","29,913","27,031",,,,,
"09/27/2023","09/01/2020","09/30/2020","United States","2020","9","257,190","232,827","3,136","49,671","7,994","10,471","3,083","11,066","3,303","3,990","2,583","53,889","12,771","17,234","4,083","3,925","2,191","7,589","19,158","16,858",,,,,
"09/27/2023","10/01/2020","10/31/2020","United States","2020","10","273,906","249,366","3,250","51,255","8,316","11,066","3,339","11,599","3,558","4,237","2,687","56,898","13,615","17,262","4,192","3,804","2,368","7,486","24,930","22,083",,,,,
"09/27/2023","11/01/2020","11/30/2020","United States","2020","11","302,583","278,769","3,388","49,658","8,887","11,631","3,538","12,006","3,641","4,404","2,842","58,308","13,557","16,818","3,802","3,716","2,242","7,417","53,250","48,037",,,,,
"09/27/2023","12/01/2020","12/31/2020","United States","2020","12","367,209","342,681","3,778","51,907","10,305","13,195","4,284","13,055","4,099","4,750","3,241","65,414","15,271","17,699","3,586","3,581","2,230","7,760","98,175","89,612",,,,,
"09/27/2023","01/01/2021","01/31/2021","United States","2021","1","373,642","348,017","3,688","51,602","10,254","12,781","4,245","12,792","4,141","5,237","2,886","65,336","15,112","18,467","3,446","3,893","2,154","8,858","105,566","96,438",,,,,
"09/27/2023","02/01/2021","02/28/2021","United States","2021","2","282,548","259,720","3,366","46,084","8,504","9,974","3,377","10,826","3,556","4,390","2,478","56,164","13,143","16,384","2,814","3,568","1,826","7,761","48,570","42,857",,,,,
"09/27/2023","03/01/2021","03/31/2021","United States","2021","3","271,042","245,457","3,392","50,318","8,623","9,853","3,333","11,496","3,757","4,562","2,622","57,732","13,689","18,505","3,540","3,992","1,935","9,339","23,268","19,633",,,,,
